address,lat,lon
7927 MAIN ST 11367,40.7183969,-73.8174171
579 MYRTLE AVE 11205,40.694187,-73.9609863
1489 2 AVENUE 10075,40.7724535,-73.95594760000002
3323 FRANCIS LEWIS BOULEVARD 11358,40.7668517,-73.7897847
525 EAST   68 STREET 10065,40.764285,-73.954258
8777 168TH PL 11432,40.71018,-73.7935964
140 8TH AVE 10011,40.7414371,-74.00101169999999
6912 ROOSEVELT AVE 11377,40.7461648,-73.8957252
929 AMSTERDAM AVE 10025,40.8000532,-73.9655781
285 COLUMBUS AVENUE 10023,40.7782965,-73.9779183
5910 8TH AVE 11220,40.635978,-74.009385
158 E. 188 TH ST 10468,40.8614877,-73.89839150000002
229 PROSPECT PARK WEST 11215,40.6598876,-73.9804891
4189 WHITE PLAINS ROAD 10466,40.8933451,-73.8577356
0 LAGUARDIA AIRPORT 11369,40.7769271,-73.8739659
17 JOHN STREET 10038,40.7099633,-74.0087355
570 BAY ST 10304,40.6279416,-74.0765005
1445 RICHMOND AVENUE 10314,40.6112069,-74.1564755
9513 NORTHERN BLVD 11372,40.7571129,-73.87259259999999
150 NASSAU ST 10038,40.7114591,-74.0059352
2335 ARTHUR AVENUE 10458,40.8543351,-73.8889269
1448 SAINT JOHNS PL 11213,40.6703227,-73.9303219
318 GRAHAM AVENUE 11211,40.7135094,-73.94394980000001
247 ELDRIDGE STREET 10002,40.7228459,-73.9898209
285 W 12TH ST 10014,40.7376897,-74.0040989
2902 DITMARS BLVD 11105,40.7765762,-73.9117677
243 WEST   42 STREET 10036,40.7570053,-73.9885583
5663 RIVERDALE AVENUE 10471,40.90625199999999,-73.9049811
7120 13TH AVE 11228,40.6222517,-74.005786
781 FRANKLIN AVENUE 11238,40.6720708,-73.95727839999999
151 W 51ST ST 10019,40.7616065,-73.98199249999999
657 FAIRVIEW AVENUE 11385,40.7067838,-73.90541710000001
557 DRIGGS AVENUE 11211,40.7168066,-73.9564748
801 ANNADALE RD 10312,40.5424862,-74.1771622
79 5TH AVE 10003,40.73703039999999,-73.99250669999999
476 2 AVENUE 10016,40.7401049,-73.97894389999999
204 GARFIELD PLACE 11215,40.6720924,-73.9769165
4 TIMES SQUARE 10036,40.7560571,-73.9857754
12221 MERRICK BLVD 11434,40.6835738,-73.7688265
136 WEST   46 STREET 10036,40.7578676,-73.9839958
159 CENTRAL AVE 11221,40.6992464,-73.9267741
366 W 46TH ST 10036,40.7605509,-73.9903604
1218 LIBERTY AVENUE 11208,40.6788278,-73.8640058
4209 MAIN STREET 11355,40.755074,-73.82771699999999
521 THIRD AVENUE 10016,40.7461635,-73.97750479999999
210 10TH AVE 10011,40.747121,-74.0043858
8989 UNION TURNPIKE 11385,40.7071503,-73.8556898
964 AMSTERDAM AVE 10025,40.8014793,-73.9653026
12 WHITEHALL FERRY TERMINAL 10004,40.7013948,-74.0131497
54 PEARL STREET 10004,40.7033808,-74.01135219999999
4713 WHITE PLAINS RD 10470,40.9038963,-73.8502718
78 W 3RD ST 10012,40.7296327,-73.9988079
272 SAND LANE 10305,40.5927051,-74.06854860000001
3409 BROADWAY 10031,40.8224179,-73.9537228
80 2 AVENUE 10003,40.726384,-73.9889027
249 E TREMONT AVE 10457,40.8490046,-73.9039797
2 MOTT ST 10013,40.7138425,-73.998498
300 E 86TH ST 10028,40.7776204,-73.9515728
180 10 AVENUE 10011,40.7459937,-74.00453499999999
7218 3 AVENUE 11209,40.6331243,-74.027327
11000 FLATLANDS AVENUE 11207,40.6501209,-73.89007529999999
2364 JEROME AVENUE 10468,40.8603111,-73.90231659999999
2535 3 AVENUE 10451,40.8110147,-73.92773849999999
119 AVENUE A 10009,40.7264835,-73.98350889999999
381 5TH AVE 11215,40.6707851,-73.98464369999999
107 GRAHAM AVENUE 11206,40.7054042,-73.94316909999999
2788 BROADWAY 10025,40.802516,-73.9673998
7118 13 AVENUE 11228,40.6222839,-74.0057401
17802 JAMAICA AVE 11432,40.7077464,-73.783185
45 WEST   46 STREET 10036,40.7569634,-73.9807187
247 DYCKMAN STREET 10034,40.8665242,-73.9280339
3538 WHITE PLAINS ROAD 10467,40.8780802,-73.8655919
129 DWIGHT ST 11231,40.6750102,-74.0099291
1306 40TH ST 11218,40.6397244,-73.9868212
155 7TH AVE 10011,40.741719,-73.99712699999999
12034 QUEENS BOULEVARD 11415,40.7132105,-73.8292707
226 UTICA AVE 11213,40.6710474,-73.93113699999999
938 3RD AVE 10022,40.7598639,-73.96813399999999
1515 BROADWAY 10036,40.7576782,-73.985965
1625 BROADWAY 10019,40.7613104,-73.9844951
7616 3RD AVENUE 11209,40.6303776,-74.028486
30 EAST   33 STREET 10016,40.7466385,-73.982957
1384 BROADWAY 10018,40.75255200000001,-73.98700699999999
255 VESEY STREET 10282,40.715015,-74.0152919
1154 1 AVENUE 10065,40.7621934,-73.9597465
3402 LINDEN PLACE 11354,40.76609250000001,-73.8315681
568 UNION AVE 11211,40.717752,-73.95193739999999
157 PROSPECT PARK SW 11218,40.6547785,-73.9735675
143 E 47TH ST 10017,40.754452,-73.9727389
